layer,correct_mean,incorrect_mean,difference,p_value,cohens_d,significant
0,0.009921380878740232,0.010345419102519264,-0.0004240382237790316,0.11590575467425068,-0.03640030805896157,False
1,-0.012652295656302017,-0.013476800173523313,0.0008245045172212955,0.014217211570519944,0.055779194517382766,True
2,-0.049683248662257554,-0.04912679617433811,-0.0005564524879194468,0.0983107126790019,-0.03781664299569511,False
3,-0.04183172340124571,-0.04215844337433762,0.00032671997309190876,0.4875597224731192,0.01588376834686743,False
4,-0.029476846667741575,-0.030461534980517818,0.0009846883127762433,0.08404688099895828,0.039763689956853324,False
5,-0.030154039236574583,-0.030836024979101193,0.0006819857425266092,0.21988756892716066,0.028249716066992454,False
6,-0.006648545560629044,-0.006496721962556423,-0.00015182359807262066,0.8107968126153506,-0.005499071511951823,False
7,-0.003883931190747902,-0.0033270759622476683,-0.0005568552285002337,0.3813396079743375,-0.020126715923053623,False
8,0.01702321007906761,0.017569018615477133,-0.0005458085364095228,0.3476830273447953,-0.021752201587364746,False
9,0.007735864451720164,0.007292491357422872,0.0004433730942972926,0.43714062000593656,0.017924895069051726,False
10,0.015018987886204536,0.01396443579610782,0.0010545520900967168,0.08035953647715752,0.040388433263194745,False
11,0.030198636172331882,0.028712519501193714,0.0014861166711381685,0.005828928774912355,0.06374005692974082,True
12,0.020731060441342878,0.020375733573606926,0.0003553268677359521,0.3710175615420508,0.020487203666677754,False
13,0.03741520242599048,0.038097475022510485,-0.0006822725965200047,0.10011626226068442,-0.03749941751680491,False
14,0.025716797630259212,0.025622370749416958,9.442688084225492e-05,0.7964425851688104,0.0058869482751952714,False
15,0.04011091490409381,0.03907999671587369,0.0010309181882201188,0.00018368564816330634,0.08496103482374696,True
16,0.0434855590455647,0.0425908418464534,0.0008947171991113001,0.0002777507149588948,0.08317452618969615,True
17,0.045846591592682985,0.04565975428010408,0.00018683731257890246,0.5098752088788538,0.015041148105400024,False
18,0.056092243297975936,0.05441008957063666,0.0016821537273392778,2.7668539455281044e-05,0.09754711342237897,True
19,0.06990901782411499,0.06936078884663546,0.0005482289774795257,0.2927641524793097,0.02457279805771227,False
20,0.08097787754404241,0.07799571750877358,0.002982160035268827,6.0318368129097085e-05,0.09418486802152248,True
21,0.08985285060351712,0.08428204632328344,0.005570804280233682,4.012772795477069e-09,0.13843973361632284,True
22,0.09402928599380335,0.0866220672606975,0.007407218733105847,2.644641134595061e-12,0.164863028359188,True
23,0.11854225241929667,0.10927092882914549,0.009271323590151176,2.2134295601310553e-13,0.1725308956226488,True
24,0.13046399508671278,0.12062178926255977,0.009842205824153002,4.207287432174819e-11,0.15487611527469908,True
25,0.15270847537685014,0.1424073033699513,0.01030117200689884,2.709830683495691e-12,0.16384917280893008,True
26,0.1592037251592645,0.1472992129627318,0.011904512196532713,7.823848355912466e-14,0.17450796341840408,True
27,0.1656414869589728,0.15264412738338798,0.012997359575584816,2.61648921450003e-15,0.18414323163292518,True
28,0.1772290309085389,0.1618448348303317,0.01538419607820718,2.0287901498421816e-18,0.20337862614695368,True
29,0.19392858044489047,0.1789078343157655,0.015020746129124962,1.0100870287368017e-17,0.19830836218686407,True
30,0.20274911422801628,0.19135725715026178,0.011391857077754503,7.173923256912524e-11,0.15012146775583937,True
31,0.22577762650848188,0.22372766189312043,0.0020499646153614437,0.2434980975884554,0.026626220076236655,False
